id,title,kind,provider,author,year,aow,aow_name,lens,geo,licence,formats,resolution,temporal,cadence,url,blurb,tags,metadata_recorded,metadata_missing,verified
d1,African Agriculture Adaptation Atlas,Geospatial,CGIAR,,2023,aow1,Prioritisation and Coordination of Climate Action,adaptation,Africa,Set by the source platform,Web maps,Country and sub-national,,,https://adaptationatlas.cgiar.org/,"Spatial climate risk, adaptation options and food security across Africa.",adaptation options; climate risk; food security,4/6,temporal; cadence,"Carried over from the v0.2 prototype, link checked when that was built"
d2,South Asia Climate Adaptation Atlas (ACASA),Geospatial,CIMMYT-BISA,,2025,aow1,Prioritisation and Coordination of Climate Action,adaptation,South Asia,Set by the source platform,Web maps,"Sub-district, approximately 25 km²",,,https://acasa-bisa.org/,"Climate hazards, vulnerability and expert-validated adaptation options for 15 crops and six livestock species.",hazards; vulnerability; adaptation options; crops; livestock,4/6,temporal; cadence,"Carried over from the v0.2 prototype, link checked when that was built"
d3,Gardian,Open data portal,CGIAR,,Live,aow1,Prioritisation and Coordination of Climate Action,cross,Global,Varies by record,"Web search, per-record downloads",,,Continuous,https://gardian.cgiar.org/,"CGIAR's flagship open data portal: research datasets, publications and project outputs.",data portal; metadata; catalogue,4/6,resolution; temporal,"Carried over from the v0.2 prototype, link checked when that was built"
d4,AgMRV,Emissions,CGIAR,,2024,aow4,Low-Emission Transitions,mitigation,Global,Set by the source platform,Web tools,,,,https://www.agmrv.org/,"Monitoring, reporting and verification for agricultural greenhouse gas emissions, on IPCC-aligned methodology.",emissions; MRV; greenhouse gas; IPCC,3/6,resolution; temporal; cadence,"Carried over from the v0.2 prototype, link checked when that was built"
d5,South Asia Drought Monitoring System,Monitoring,IWMI,,Live,aow2,Digital Advisories and Climate Risk Management,adaptation,South Asia,Set by the source platform,Web maps,,,Weekly,https://www.iwmi.org/data/sadms/,"Near real-time drought monitoring, with drought work expanding in Africa.",drought; monitoring; early warning,4/6,resolution; temporal,"Carried over from the v0.2 prototype, link checked when that was built"
d6,AgWise,Advisory / API,CGIAR,,2024,aow2,Digital Advisories and Climate Risk Management,adaptation,Africa,Set by the source platform,"API, GIS",Location-specific,,,https://agwise.org/,Location-specific climate-smart agronomic recommendations with API and GIS integration.,advisories; agronomy; API; decision support,4/6,temporal; cadence,"Carried over from the v0.2 prototype, link checked when that was built"
d7,MapSPAM,Geospatial,IFPRI,,2020,aow1,Prioritisation and Coordination of Climate Action,cross,Global,Set by the source platform,Raster downloads,5 arcminute,,,https://www.mapspam.info/,"Global spatially-explicit crop production surfaces: yield, area and value.",crops; production; yield; geospatial,4/6,temporal; cadence,"Carried over from the v0.2 prototype, link checked when that was built"
d8,Climate Security Observatory,Analysis,CGIAR,,2024,aow1,Prioritisation and Coordination of Climate Action,adaptation,Global,Set by the source platform,Web profiles,Country profiles,,,https://cso.cgiar.org/,"Evidence base on the climate, conflict and food security nexus, with country profiles.",climate security; conflict; food security; country profiles,4/6,temporal; cadence,"Carried over from the v0.2 prototype, link checked when that was built"
d9,CGSpace,Repository,CGIAR,,Live,aow1,Prioritisation and Coordination of Climate Action,cross,Global,Varies by item; open access repository,"Web, OAI-PMH",,,Continuous,https://cgspace.cgiar.org/,"Open-access institutional repository for CGIAR research outputs, around 150,000 records.",repository; publications; open access,4/6,resolution; temporal,"Carried over from the v0.2 prototype, link checked when that was built"
d10,"MapSPAM 2020, harmonised in the Data Hub",Geospatial,"IFPRI, via the CGIAR Climate Data Hub",,2020,aow1,Prioritisation and Coordination of Climate Action,cross,Global,"Openly licensed, per Hub policy","Analysis-ready, cloud-optimised",5 arcminute,2020,Static release,https://cgiar-climate-data-hub.github.io/catalog/spam2020/,"Global spatially-disaggregated crop production statistics for 2020, one of two datasets currently in the Data Hub catalogue.",crops; production; geospatial; harmonised,6/6,,"Read from the CGIAR Climate Data Hub, 10/08/2026"
d11,Gridded Livestock Density 2020 (GLW4),Geospatial,"FAO, via the CGIAR Climate Data Hub",,2020,aow4,Low-Emission Transitions,mitigation,Global,"Openly licensed, per Hub policy","Zarr store, streamable",5 arcminute,2020,Static release,https://cgiar-climate-data-hub.github.io/catalog/glw4-2020/,Modelled densities of six livestock species globally. The other of the two datasets currently in the Data Hub catalogue.,livestock; density; geospatial; emissions,6/6,,"Read from the CGIAR Climate Data Hub, 10/08/2026"
d12,CHIRPS,Precipitation,"Climate Hazards Center, UC Santa Barbara, with USGS",,Live,aow2,Digital Advisories and Climate Risk Management,adaptation,50°S to 50°N,Open,Gridded rasters,0.05°,1981 to present,Updated operationally,https://www.chc.ucsb.edu/data/chirps,"Climate Hazards Group InfraRed Precipitation with Station data: a 35-year quasi-global rainfall record blending satellite imagery with station measurements, built for drought early warning.",rainfall; precipitation; drought; early warning; satellite,6/6,,"Read from the provider’s own dataset page, 10/08/2026"
d13,ERA5,Reanalysis,"ECMWF, under the Copernicus Climate Change Service",,Live,aow2,Digital Advisories and Climate Risk Management,cross,Global,"Copernicus licence, free with registration","NetCDF, GRIB, CDS API","0.25°, uncertainty at 0.5°","1940 to present, hourly","Daily, about 5 days behind real time",https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels,"Fifth-generation ECMWF reanalysis: hourly atmospheric, ocean-wave and land-surface variables, with uncertainty from a 10-member ensemble.",reanalysis; temperature; rainfall; wind; uncertainty,6/6,,"Read from the provider’s own dataset page, 10/08/2026"
